,s1,0.167hr,0.333hr,0.500hr,0.667hr,0.833hr,1.000hr,1.167hr,1.333hr,1.500hr,1.667hr,1.833hr,2.000hr,2.167hr,2.333hr,2.500hr,2.667hr,2.833hr,3.000hr,3.167hr,3.333hr,3.500hr,3.667hr,3.833hr,4.000hr,4.167hr,4.333hr,4.500hr,4.667hr,4.833hr,5.000hr,5.167hr,5.333hr,5.500hr,5.667hr,5.833hr,6.000hr,6.167hr,6.333hr,6.500hr,6.667hr,6.833hr,7.000hr,7.167hr,7.333hr,7.500hr,7.667hr,7.833hr,8.000hr,8.167hr,8.333hr,8.500hr,8.667hr,8.833hr,9.000hr,9.167hr,9.333hr,9.500hr,9.667hr,9.833hr,10.000hr,10.167hr,10.333hr,10.500hr,10.667hr,10.833hr,11.000hr,11.167hr,11.333hr,11.500hr,11.667hr,11.833hr,12.000hr,12.167hr,12.333hr,12.500hr,12.667hr,12.833hr,13.000hr,13.167hr,13.333hr,13.500hr,13.667hr,13.833hr,14.000hr,14.167hr,14.333hr,14.500hr,14.667hr,14.833hr,15.000hr,15.167hr,15.333hr,15.500hr,15.667hr,15.833hr,16.000hr,16.167hr,16.333hr,16.500hr,16.667hr,16.833hr,17.000hr,17.167hr,17.333hr,17.500hr,17.667hr,17.833hr,18.000hr,18.167hr,18.333hr,18.500hr,18.667hr,18.833hr,19.000hr,19.167hr,19.333hr,19.500hr,19.667hr,19.833hr,20.000hr,20.167hr,20.333hr,20.500hr,20.667hr,20.833hr,21.000hr,21.167hr,21.333hr,21.500hr,21.667hr,21.833hr,22.000hr,22.167hr,22.333hr,22.500hr,22.667hr,22.833hr,23.000hr,23.167hr,23.333hr,23.500hr,23.667hr,23.833hr,24.000hr
s1,1,0.992407753,0.976121006,0.955771754,0.932755254,0.905941091,0.873357732,0.840668825,0.814954054,0.795589936,0.781093322,0.769799583,0.76018882,0.75011002,0.739221585,0.728043887,0.716589239,0.705048936,0.693119565,0.681408221,0.670206077,0.659650706,0.649679298,0.639903312,0.630358802,0.620820283,0.611917913,0.603441069,0.595408754,0.587591804,0.580080395,0.57270362,0.565531285,0.558639162,0.552021139,0.545712763,0.53934548,0.533387976,0.527807814,0.522455093,0.517366276,0.512534206,0.507937462,0.503558777,0.499570195,0.495508975,0.492278457,0.489103162,0.486233287,0.4835684,0.481288806,0.47896247,0.477198442,0.475443154,0.474074758,0.472418781,0.471374349,0.470285774,0.469040291,0.467960394,0.467103255,0.466470458,0.465731857,0.464970802,0.464235021,0.463725562,0.463122799,0.462807426,0.462485929,0.461966783,0.46150939,0.461011704,0.460205647,0.459342124,0.45797899,0.456922254,0.455557469,0.454261488,0.453331243,0.452170769,0.450955228,0.449649772,0.448824339,0.447931945,0.447380443,0.446840303,0.446049882,0.445158474,0.444196363,0.44339454,0.442964857,0.442617906,0.442148294,0.44170558,0.441159037,0.440495858,0.439602027,0.43856719,0.436986022,0.435697506,0.434016427,0.432327025,0.430432294,0.428669422,0.426781112,0.424947324,0.422989092,0.421034911,0.418879298,0.416439665,0.413796736,0.411747881,0.409692881,0.407880407,0.40542538,0.40284941,0.400452137,0.397764854,0.39523887,0.392940534,0.390805158,0.388915956,0.387608914,0.386721292,0.38589835,0.384652614,0.383654348,0.383278152,0.382633396,0.382262654,0.381057349,0.379819997,0.377787312,0.377606375,0.377772658,0.377232463,0.375805335,0.374676396,0.373853467,0.372400514,0.370956118,0.369766937,0.369458777,0.368527655,0.367526142
0.167hr,0.992407753,1,0.994363943,0.980487557,0.960473655,0.93418255,0.900854678,0.867530164,0.841530363,0.821807226,0.806885184,0.795078159,0.784952232,0.774482952,0.763304339,0.75188381,0.740250385,0.728566047,0.716546957,0.70475545,0.693433888,0.682710543,0.672523123,0.662517196,0.65269729,0.64288641,0.633695302,0.624915177,0.616569105,0.608473285,0.600679928,0.593024228,0.585641083,0.578534262,0.571753657,0.565313651,0.558852365,0.552800091,0.547127431,0.541705006,0.536551029,0.531652204,0.526990275,0.522546783,0.51849086,0.514342196,0.511033209,0.507785897,0.504835011,0.502095457,0.499740383,0.497318916,0.495468029,0.493631931,0.492184008,0.490435631,0.489312228,0.488153357,0.48681814,0.485656967,0.484728389,0.484015979,0.483199942,0.482372358,0.481568092,0.481018024,0.480351482,0.479909673,0.479461946,0.478855722,0.4783143,0.477718015,0.476789814,0.475866012,0.474442798,0.473332604,0.4719201,0.470576338,0.469588425,0.468383465,0.467108131,0.465748347,0.464886856,0.46393038,0.46334949,0.462758879,0.461926332,0.461009596,0.460038694,0.459202883,0.458793009,0.458467867,0.458061839,0.457673956,0.457150925,0.456516436,0.455645044,0.454639114,0.453092759,0.451823799,0.45014009,0.448435045,0.446523427,0.444750722,0.442847903,0.440989114,0.43902641,0.437077292,0.43492623,0.432486967,0.429815072,0.427730316,0.425619533,0.423806416,0.421298477,0.418683047,0.416239021,0.413540852,0.410976169,0.40864943,0.406524383,0.404581317,0.403287501,0.402453468,0.401663757,0.400436421,0.399493456,0.399157788,0.398563427,0.398254096,0.397116559,0.395930381,0.393785548,0.393559411,0.393622362,0.393017608,0.391543128,0.390378026,0.389477545,0.387967343,0.38647395,0.385265587,0.384956341,0.384058737,0.383104458
0.333hr,0.976121006,0.994363943,1,0.995176137,0.981472356,0.959027486,0.927794709,0.895703358,0.870523941,0.851223496,0.836338883,0.824247021,0.813610882,0.802659999,0.791126257,0.779405543,0.767534317,0.755627246,0.743429521,0.73148113,0.71997449,0.709017102,0.698535814,0.688202752,0.678020709,0.667849699,0.658284163,0.649123742,0.640387597,0.631924264,0.623764178,0.61576986,0.608097157,0.600731903,0.593708979,0.587073601,0.580453536,0.574260339,0.568459092,0.562935898,0.557690996,0.55270932,0.547971532,0.543458976,0.539336036,0.535128168,0.531736653,0.52841569,0.525382651,0.522569248,0.520123779,0.517612234,0.515664703,0.513737756,0.512179741,0.510335162,0.509104686,0.507847705,0.50639533,0.505127443,0.504099542,0.503284355,0.502369285,0.501458839,0.500559637,0.499907461,0.499125425,0.498543231,0.497957577,0.497244104,0.496591577,0.495863334,0.494837455,0.493815102,0.492315056,0.491131895,0.489658481,0.488258511,0.487208433,0.48595438,0.48462506,0.483213853,0.482309718,0.481259473,0.480621243,0.479960255,0.479063542,0.478092751,0.477082272,0.47619726,0.47578507,0.475446194,0.475040983,0.474651026,0.474112332,0.473471837,0.472595788,0.471580271,0.470035322,0.468754078,0.467038824,0.465296112,0.46334013,0.461536231,0.459606717,0.457712204,0.455725374,0.453766541,0.451610761,0.449154194,0.446452148,0.444327556,0.442172896,0.440363375,0.437840094,0.435205658,0.432743956,0.430061321,0.427488717,0.425175725,0.423096477,0.421145532,0.419904992,0.419170429,0.418453114,0.417242423,0.416363804,0.416074274,0.41557741,0.415322824,0.414252682,0.413083172,0.410968578,0.41077064,0.410802417,0.410214227,0.408744562,0.407563967,0.406646067,0.405112102,0.403606739,0.402402618,0.402081881,0.401215108,0.400305635
0.500hr,0.955771754,0.980487557,0.995176137,1,0.99500779,0.97959084,0.953631789,0.924955892,0.901812515,0.883715748,0.869411175,0.857398519,0.846416508,0.835003161,0.823101075,0.811053426,0.79889757,0.786698683,0.774232034,0.762023807,0.750256911,0.738994947,0.728149538,0.71741796,0.706802372,0.696205455,0.686217633,0.676635586,0.667472255,0.658596572,0.650028787,0.641646553,0.633625181,0.625935285,0.618606689,0.611709276,0.604869204,0.598474462,0.592491737,0.586817651,0.581440968,0.576341784,0.571498101,0.566891588,0.56268031,0.55839344,0.554901094,0.551490596,0.548362238,0.545460342,0.542909864,0.540289811,0.53823028,0.536198516,0.534512643,0.532557161,0.531200367,0.529825265,0.52823496,0.526842011,0.525690668,0.524746249,0.523712366,0.52269493,0.521681924,0.520906566,0.519991988,0.519254972,0.518522196,0.517681392,0.516894462,0.516013776,0.514872694,0.513728808,0.512133783,0.510856645,0.50930644,0.507825958,0.506694864,0.505375803,0.503980775,0.502491117,0.501515803,0.500337377,0.499609692,0.498838381,0.497831616,0.496761612,0.495661238,0.494693416,0.494243632,0.49385373,0.493408023,0.492969013,0.492373738,0.491685738,0.490762757,0.489695352,0.488109865,0.486775019,0.484990666,0.48317732,0.48114775,0.479274165,0.477286653,0.47532418,0.473280577,0.471281556,0.469093953,0.466594795,0.463845951,0.461652273,0.459435205,0.457613806,0.455080813,0.452428245,0.449947695,0.44727121,0.444685053,0.442387236,0.44033749,0.438370733,0.437154474,0.436497909,0.435827866,0.434631291,0.433776886,0.433504593,0.433089186,0.432852664,0.431806176,0.430606062,0.428512076,0.428346386,0.428367522,0.427814929,0.426356381,0.42515745,0.424230786,0.422695983,0.421192329,0.419987339,0.419653726,0.418803775,0.41793705
0.667hr,0.932755254,0.960473655,0.981472356,0.99500779,1,0.994330379,0.976821624,0.953885089,0.934054575,0.917941601,0.904756064,0.893212601,0.882108649,0.870304474,0.858043327,0.845659239,0.833193396,0.820664734,0.807871453,0.795322574,0.783228456,0.77160016,0.760342474,0.749170468,0.738084327,0.727034535,0.716613715,0.706609683,0.697023487,0.687735997,0.678759777,0.669981309,0.661590242,0.65354832,0.645884962,0.638689358,0.631595124,0.624963805,0.618764511,0.612908811,0.607375368,0.602138199,0.597171521,0.592457069,0.588146029,0.583772094,0.580173344,0.57666606,0.573441093,0.570446844,0.567788178,0.565056336,0.562881296,0.560740535,0.558921215,0.556852235,0.555361333,0.55386004,0.552128796,0.550608161,0.549322823,0.548238613,0.547080055,0.545945049,0.544810647,0.543904279,0.542852033,0.541953366,0.541070948,0.540092405,0.539156318,0.538114238,0.536845922,0.535569196,0.53386672,0.532480404,0.530840889,0.529260463,0.528034248,0.526639504,0.525170798,0.523584836,0.522516471,0.521190638,0.520349355,0.519440494,0.518289884,0.517088706,0.51586213,0.514787247,0.51426356,0.513791891,0.513275703,0.512749394,0.512060026,0.511284437,0.510275581,0.509117852,0.507448612,0.506021482,0.504137044,0.502224537,0.500093845,0.498120719,0.496047821,0.493987963,0.491858373,0.489788198,0.48753993,0.48496961,0.482153585,0.47985839,0.477554598,0.475695621,0.473146641,0.470471484,0.467962007,0.465272863,0.462664889,0.460376574,0.458330886,0.456338634,0.455105843,0.454488612,0.453838035,0.452646209,0.451765817,0.451464141,0.451113295,0.450856782,0.449776334,0.448488561,0.44642058,0.446255843,0.446275546,0.445746185,0.444286747,0.443057264,0.442098865,0.440550438,0.43904393,0.437822052,0.437464484,0.436606342,0.435765833
0.833hr,0.905941091,0.93418255,0.959027486,0.97959084,0.994330379,1,0.993671276,0.9788236,0.963674612,0.950344068,0.938779899,0.928043123,0.917011808,0.904890216,0.892291815,0.87958589,0.86682449,0.853982107,0.840865352,0.827949638,0.815492533,0.803462175,0.791771239,0.780147569,0.768588333,0.757094511,0.746257299,0.735861305,0.725890662,0.716230806,0.70688472,0.697745846,0.689009479,0.680632126,0.672645329,0.665156424,0.657809707,0.650938901,0.644520441,0.63848,0.632790102,0.627418956,0.622332703,0.617517417,0.613113918,0.608663088,0.604968043,0.60137558,0.598067322,0.59499307,0.592239164,0.589408171,0.58712842,0.58488714,0.582944267,0.580770557,0.579151317,0.57753055,0.575671087,0.574032424,0.572616892,0.571396285,0.570117904,0.568870051,0.567617834,0.566585201,0.565403403,0.564348036,0.563323833,0.562209843,0.56112471,0.55992807,0.55853261,0.55712608,0.555318294,0.553824366,0.552097399,0.550410872,0.549086423,0.54761474,0.546075935,0.544388787,0.543218246,0.541743079,0.540781291,0.539723525,0.53841506,0.537068208,0.535699153,0.534507334,0.533888465,0.533314655,0.532709563,0.532073921,0.531268072,0.530383377,0.529263114,0.527994282,0.526219068,0.524680402,0.522687325,0.520669567,0.518433652,0.51635537,0.514192458,0.512028711,0.509805969,0.507649897,0.505329693,0.50267913,0.499793361,0.497382644,0.494984535,0.493076097,0.49051633,0.487828597,0.485297591,0.482592234,0.479970346,0.477700926,0.475651135,0.473638024,0.472364108,0.471756914,0.471103354,0.469899797,0.46895806,0.468590026,0.46827967,0.467971758,0.466820474,0.465421937,0.463370062,0.463198838,0.463208145,0.462669274,0.461195243,0.459911906,0.458878329,0.457284072,0.455752487,0.454500924,0.454105318,0.45321451,0.452376601
1.000hr,0.873357732,0.900854678,0.927794709,0.953631789,0.976821624,0.993671276,1,0.995320381,0.986355522,0.976723703,0.967282801,0.957590947,0.946699838,0.934266223,0.921346833,0.908361009,0.895370268,0.882305674,0.868955277,0.85572786,0.842922735,0.830489134,0.818365727,0.806293163,0.79427115,0.782342981,0.771090878,0.760309807,0.749966001,0.739948642,0.730251527,0.720776037,0.711714246,0.70301937,0.694723592,0.686952673,0.679357783,0.672251209,0.665616845,0.659391591,0.65354712,0.648046306,0.642846165,0.637940657,0.633457365,0.628943353,0.625166379,0.621506035,0.618130595,0.614993413,0.612162371,0.609251378,0.606885429,0.604559163,0.602513385,0.600248745,0.598514754,0.596788711,0.594817257,0.593076896,0.591544548,0.59020072,0.588814849,0.58746635,0.586105918,0.58496226,0.583667947,0.5824717,0.581321995,0.580085999,0.578867182,0.577533781,0.576020338,0.574496174,0.572591995,0.571002561,0.569199561,0.567414829,0.565995418,0.564452241,0.56285423,0.561074678,0.559802602,0.558189102,0.557111353,0.55591165,0.554449884,0.552961882,0.551452267,0.550149018,0.549425751,0.548742394,0.548040892,0.547284573,0.546358501,0.54536723,0.544136052,0.54276286,0.540888658,0.539249926,0.537166838,0.53506605,0.532746955,0.530587805,0.528358112,0.526112222,0.523818282,0.521588713,0.519214048,0.51650517,0.513577078,0.511072166,0.508596539,0.506642163,0.504102018,0.501437451,0.498921502,0.496229611,0.493627463,0.491408623,0.48937183,0.487367955,0.4860558,0.485445543,0.484781866,0.483574217,0.482556811,0.482112787,0.481821663,0.481458426,0.480230257,0.478711958,0.476662544,0.476478873,0.476467463,0.475892483,0.474392428,0.47303369,0.471884619,0.470199996,0.468605895,0.46731656,0.466878464,0.465936628,0.465091635
1.167hr,0.840668825,0.867530164,0.895703358,0.924955892,0.953885089,0.9788236,0.995320381,1,0.997434305,0.991933912,0.985007393,0.976667168,0.966204985,0.953783829,0.940867622,0.927901397,0.914954639,0.901929702,0.888593584,0.875285398,0.862325328,0.849668353,0.83728371,0.824924378,0.81259684,0.800367832,0.788808079,0.77773188,0.767094301,0.756792467,0.746813883,0.737072639,0.727754457,0.718809066,0.71027112,0.702275055,0.694478435,0.68717732,0.680359209,0.673969326,0.667982017,0.662354722,0.65703942,0.652041649,0.647475071,0.642896455,0.639037306,0.635310547,0.631870104,0.628674196,0.625772076,0.622796284,0.620359013,0.617965299,0.615836949,0.61349787,0.611670537,0.609860176,0.607797835,0.60597665,0.604351701,0.602910218,0.601437115,0.600009527,0.598562068,0.597334601,0.595957551,0.594650737,0.593405882,0.592076172,0.590754443,0.58931881,0.587711163,0.586094449,0.584113052,0.582452012,0.58059425,0.578734645,0.577233677,0.575630266,0.573986742,0.572130758,0.570767354,0.569036487,0.567857029,0.566537922,0.564949485,0.563343507,0.561722631,0.560338602,0.559534201,0.558763831,0.557990346,0.557137251,0.556116701,0.55505185,0.553743186,0.552303468,0.550370143,0.548668925,0.546534201,0.544389467,0.542022047,0.539819077,0.537557466,0.535265998,0.53293819,0.530668658,0.528274941,0.525542696,0.522609586,0.520051965,0.517529069,0.515540367,0.513046341,0.510433848,0.507962444,0.505310217,0.502751246,0.500600301,0.498592136,0.496620876,0.495280831,0.494657271,0.49397522,0.49276998,0.49167092,0.491161059,0.490870493,0.490452634,0.489154805,0.487492312,0.48539077,0.485156396,0.485111473,0.484481778,0.482938261,0.481495076,0.480216793,0.47840544,0.47671207,0.475371699,0.474876298,0.473869568,0.473004293
1.333hr,0.814954054,0.841530363,0.870523941,0.901812515,0.934054575,0.963674612,0.986355522,0.997434305,1,0.998324915,0.994104148,0.987571234,0.978182584,0.966461563,0.954139289,0.941677892,0.929161154,0.916489314,0.90343606,0.890312012,0.877460515,0.864846888,0.852460973,0.840068218,0.827674659,0.815361083,0.803686765,0.792486136,0.781708862,0.771264656,0.761133909,0.751243591,0.741775368,0.732678392,0.723988576,0.715846084,0.707914699,0.700475425,0.693517227,0.686992292,0.680881011,0.675132317,0.669699928,0.664600528,0.65993633,0.655280753,0.651322539,0.647515156,0.643999609,0.6407338,0.637752325,0.634709088,0.632199676,0.629743216,0.627539553,0.62513402,0.623226435,0.621343954,0.619202267,0.617310265,0.615607735,0.614084705,0.612537315,0.611044053,0.609523526,0.60822844,0.606787595,0.60539311,0.604073251,0.602665225,0.601261743,0.599747728,0.598062026,0.596368215,0.594323172,0.592599788,0.59069451,0.588771152,0.587194511,0.585534539,0.583848101,0.581924629,0.580474777,0.578637803,0.577363001,0.575937203,0.574240589,0.572528346,0.570814466,0.569370786,0.568508961,0.56767305,0.566851027,0.5659287,0.564831732,0.563714274,0.562349977,0.560864047,0.558893705,0.557144726,0.554969096,0.552790028,0.550379949,0.548138315,0.545850525,0.543519215,0.541164018,0.538861042,0.536454701,0.533699796,0.530761549,0.528162067,0.525594837,0.523561897,0.521099432,0.518523569,0.516081482,0.51345564,0.510928557,0.50882106,0.506816926,0.50485853,0.503473558,0.502813109,0.502095666,0.500878677,0.499683086,0.499101413,0.498790364,0.498316144,0.496941654,0.495093342,0.492875946,0.492547082,0.492450594,0.49175565,0.490150098,0.488613768,0.487213541,0.48526327,0.483448084,0.48203469,0.48146014,0.480380531,0.479472784
1.500hr,0.795589936,0.821807226,0.851223496,0.883715748,0.917941601,0.950344068,0.976723703,0.991933912,0.998324915,1,0.998589181,0.994340131,0.986745434,0.976446724,0.965295963,0.95380033,0.942074627,0.93003788,0.917494548,0.904761676,0.892225045,0.879863032,0.867678828,0.855452069,0.843180377,0.83095652,0.819327427,0.808147609,0.797363328,0.786900098,0.776727716,0.766787013,0.757254892,0.748084983,0.739311177,0.731078402,0.723059613,0.71551961,0.708449902,0.701808937,0.695583929,0.689716646,0.684164825,0.678954503,0.674179103,0.669432386,0.665358886,0.661455626,0.657852618,0.654502982,0.651431254,0.64831123,0.645720879,0.643197749,0.640915629,0.638444554,0.636457684,0.634503447,0.632283224,0.630321616,0.62854305,0.626940828,0.625321061,0.623764422,0.622173091,0.620812871,0.619312153,0.617835966,0.6164437,0.614957714,0.613479657,0.611894293,0.610135649,0.60836862,0.606264254,0.604476441,0.602519601,0.600530041,0.598872888,0.597149585,0.595414495,0.593422162,0.591883755,0.589939214,0.588564259,0.587031711,0.585228693,0.583406994,0.581600394,0.580097314,0.579182944,0.578285057,0.57741876,0.576433682,0.575258058,0.574085232,0.572663708,0.571126765,0.569112902,0.567305799,0.56507903,0.562852014,0.560385871,0.558089199,0.555759731,0.553372567,0.550974084,0.54862251,0.54618861,0.543391889,0.540428336,0.537776422,0.535149241,0.533050512,0.53059026,0.528021384,0.525579222,0.522950401,0.520429998,0.518333797,0.516303495,0.514329381,0.512875745,0.512154734,0.511385736,0.510141506,0.50883743,0.508174241,0.507824644,0.507283323,0.505828267,0.503766496,0.501398513,0.500947839,0.500791253,0.500028139,0.498350542,0.49671594,0.495198083,0.493105195,0.491154734,0.489652819,0.488982639,0.487825079,0.486856042
