,s1,0.167hr,0.333hr,0.500hr,0.667hr,0.833hr,1.000hr,1.167hr,1.333hr,1.500hr,1.667hr,1.833hr,2.000hr,2.167hr,2.333hr,2.500hr,2.667hr,2.833hr,3.000hr,3.167hr,3.333hr,3.500hr,3.667hr,3.833hr,4.000hr,4.167hr,4.333hr,4.500hr,4.667hr,4.833hr,5.000hr,5.167hr,5.333hr,5.500hr,5.667hr,5.833hr,6.000hr,6.167hr,6.333hr,6.500hr,6.667hr,6.833hr,7.000hr,7.167hr,7.333hr,7.500hr,7.667hr,7.833hr,8.000hr,8.167hr,8.333hr,8.500hr,8.667hr,8.833hr,9.000hr,9.167hr,9.333hr,9.500hr,9.667hr,9.833hr,10.000hr,10.167hr,10.333hr,10.500hr,10.667hr,10.833hr,11.000hr,11.167hr,11.333hr,11.500hr,11.667hr,11.833hr,12.000hr,12.167hr,12.333hr,12.500hr,12.667hr,12.833hr,13.000hr,13.167hr,13.333hr,13.500hr,13.667hr,13.833hr,14.000hr,14.167hr,14.333hr,14.500hr,14.667hr,14.833hr,15.000hr,15.167hr,15.333hr,15.500hr,15.667hr,15.833hr,16.000hr,16.167hr,16.333hr,16.500hr,16.667hr,16.833hr,17.000hr,17.167hr,17.333hr,17.500hr,17.667hr,17.833hr,18.000hr,18.167hr,18.333hr,18.500hr,18.667hr,18.833hr,19.000hr,19.167hr,19.333hr,19.500hr,19.667hr,19.833hr,20.000hr,20.167hr,20.333hr,20.500hr,20.667hr,20.833hr,21.000hr,21.167hr,21.333hr,21.500hr,21.667hr,21.833hr,22.000hr,22.167hr,22.333hr,22.500hr,22.667hr,22.833hr,23.000hr,23.167hr,23.333hr,23.500hr,23.667hr,23.833hr,24.000hr
s1,1.0,0.9924077526451837,0.9761210060050715,0.9557717535236544,0.9327552539842304,0.9059410912594751,0.8733577316306134,0.8406688253826707,0.8149540542252447,0.795589935745877,0.7810933223360017,0.7697995830602491,0.7601888204047468,0.750110019914229,0.7392215853861019,0.7280438872786271,0.7165892387981269,0.705048936446955,0.6931195648302801,0.6814082210126194,0.6702060770688261,0.6596507058889156,0.6496792983854528,0.6399033124758158,0.6303588017586375,0.620820282601995,0.6119179132167093,0.6034410693034072,0.5954087543022955,0.5875918038550556,0.5800803949322874,0.5727036201518062,0.565531285079415,0.5586391624373478,0.5520211390759787,0.5457127626475401,0.5393454802720777,0.5333879755704564,0.5278078138850668,0.5224550927951246,0.5173662759009185,0.5125342059870258,0.5079374622614007,0.5035587767461839,0.49957019508623146,0.49550897541350764,0.49227845723643016,0.48910316168490486,0.48623328701499624,0.4835683996674536,0.48128880578987404,0.4789624703654482,0.47719844158165486,0.47544315412990473,0.47407475768112695,0.47241878125736114,0.471374349124947,0.4702857743181894,0.46904029149932475,0.4679603939913049,0.46710325492124816,0.46647045797712167,0.46573185686946306,0.46497080220871934,0.46423502074123757,0.4637255622572368,0.463122799125388,0.46280742625723253,0.46248592872197364,0.4619667830822911,0.4615093901869119,0.46101170381740775,0.46020564722927737,0.459342123866984,0.4579789898782863,0.456922254228222,0.45555746874049347,0.45426148849909187,0.4533312426803446,0.45217076926934113,0.4509552275004489,0.4496497721876942,0.4488243392456956,0.44793194540004666,0.44738044300985574,0.4468403030177713,0.4460498818710896,0.4451584737793217,0.4441963629480753,0.4433945398334035,0.4429648571872678,0.44261790624595115,0.4421482940491692,0.4417055804761712,0.44115903681927776,0.4404958582883671,0.4396020265675634,0.4385671895588429,0.43698602194074776,0.4356975061248956,0.434016427205946,0.4323270251548035,0.43043229375046155,0.42866942151568205,0.4267811116999061,0.42494732416511016,0.42298909246761535,0.4210349108096298,0.41887929767757714,0.41643966547988037,0.413796736446342,0.4117478812700081,0.40969288081386984,0.407880406542913,0.4054253795264041,0.402849410117246,0.40045213685562786,0.3977648543917912,0.39523886955666915,0.39294053449581395,0.39080515827318424,0.38891595619050134,0.3876089137333182,0.38672129174114284,0.3858983504688963,0.3846526137743187,0.38365434831816986,0.3832781522449995,0.3826333958193926,0.3822626536012627,0.3810573485497555,0.3798199965355721,0.3777873120509355,0.3776063748664433,0.3777726579313957,0.3772324630362686,0.3758053349990645,0.37467639560875277,0.3738534670072727,0.37240051406101904,0.370956118078552,0.369766937240392,0.36945877710834224,0.3685276552108497,0.3675261424617464
0.167hr,0.9924077526451837,1.0,0.9943639430018958,0.9804875567099288,0.9604736545257077,0.9341825499651987,0.9008546775090105,0.8675301641817736,0.8415303632497001,0.8218072260675731,0.8068851838059352,0.795078158742079,0.7849522316889992,0.7744829519898699,0.7633043394089012,0.7518838103798583,0.7402503854567719,0.7285660468057779,0.7165469570606726,0.7047554501355627,0.6934338882939183,0.6827105431461252,0.6725231225570736,0.662517196338297,0.6526972904973025,0.642886410004933,0.6336953023377891,0.6249151772673239,0.6165691052089892,0.6084732845702412,0.6006799282536011,0.5930242277745275,0.5856410827077123,0.5785342620461467,0.5717536568070496,0.5653136513521788,0.5588523651597048,0.5528000912515889,0.5471274314149119,0.5417050064429981,0.5365510291233467,0.531652203829126,0.526990275101415,0.5225467825898602,0.5184908600391819,0.51434219643715,0.5110332091536038,0.5077858971152943,0.5048350108733617,0.5020954565881103,0.4997403826081643,0.49731891625472213,0.4954680289251334,0.49363193135888844,0.4921840083138207,0.49043563113162986,0.4893122284091151,0.4881533569302071,0.4868181400191597,0.4856569671676021,0.48472838905884935,0.4840159793794944,0.483199941947822,0.4823723580110315,0.4815680923209228,0.4810180243293503,0.4803514823097068,0.4799096727104405,0.4794619457818073,0.47885572151879824,0.47831429988416974,0.47771801503666994,0.47678981363014095,0.47586601242577287,0.47444279842240966,0.4733326041864476,0.4719201002812326,0.4705763378626349,0.4695884246675278,0.4683834648485092,0.467108130872112,0.46574834658437547,0.4648868562762021,0.4639303799985437,0.4633494903524547,0.4627588786976407,0.4619263321016758,0.46100959580413914,0.4600386939095693,0.459202882698507,0.45879300888352,0.45846786737063594,0.45806183857807725,0.45767395585014814,0.4571509247454952,0.4565164359634099,0.4556450436024807,0.4546391139056897,0.4530927588944508,0.45182379880606377,0.4501400899189943,0.4484350454831589,0.44652342688638635,0.44475072216708694,0.44284790262275076,0.4409891138463171,0.43902640995948483,0.43707729204088414,0.43492623010470777,0.4324869670480924,0.42981507183110174,0.4277303158816666,0.42561953297650257,0.4238064161677045,0.4212984773065515,0.4186830471489222,0.4162390210227415,0.41354085209119235,0.41097616885662,0.40864942995165615,0.406524382710388,0.4045813170358705,0.40328750144627307,0.40245346848892954,0.40166375706717256,0.4004364212850412,0.39949345647587076,0.3991577877713967,0.39856342706944076,0.3982540962369928,0.39711655937392465,0.39593038126556607,0.39378554760509177,0.3935594111643886,0.39362236246423404,0.3930176083453862,0.39154312799909047,0.3903780256906826,0.38947754466396733,0.3879673426447958,0.3864739496479432,0.38526558668477184,0.38495634140531465,0.3840587373256937,0.38310445757858264
0.333hr,0.9761210060050715,0.9943639430018958,1.0,0.9951761368682855,0.9814723561605728,0.9590274855825014,0.9277947090463824,0.8957033578247502,0.8705239407743888,0.8512234958339706,0.8363388829666325,0.8242470207235756,0.8136108815987196,0.802659998528375,0.7911262570762578,0.7794055433787761,0.7675343173673499,0.7556272460255793,0.7434295206363518,0.731481130220673,0.7199744897862448,0.7090171024668588,0.6985358141754956,0.68820275169984,0.6780207086642878,0.6678496994654937,0.6582841627038895,0.6491237417722546,0.6403875974845145,0.6319242642178972,0.623764177753206,0.6157698604084378,0.6080971568959789,0.6007319031859448,0.5937089790320537,0.5870736007098123,0.5804535356273296,0.5742603385794108,0.5684590917133014,0.5629358975797333,0.55769099564663,0.5527093199858064,0.5479715316913343,0.5434589757619899,0.5393360356635291,0.5351281684599904,0.5317366528043614,0.5284156902902586,0.5253826506133961,0.5225692482930332,0.5201237785134082,0.5176122337564556,0.5156647025050762,0.5137377555200238,0.5121797408647946,0.5103351618232573,0.5091046860611395,0.5078477050614957,0.5063953298461561,0.5051274430999431,0.5040995422599528,0.5032843545146505,0.5023692852661052,0.5014588385888482,0.5005596367656215,0.49990746096526695,0.49912542469545257,0.49854323077923135,0.49795757701133836,0.49724410359306653,0.4965915770885644,0.49586333356360635,0.4948374549611459,0.4938151022729869,0.4923150555690325,0.49113189532109575,0.4896584807544648,0.48825851111868807,0.4872084333351338,0.48595438031281024,0.4846250603101556,0.48321385306554776,0.48230971790565935,0.4812594729568135,0.480621242864632,0.47996025512157553,0.47906354206442475,0.4780927508973147,0.47708227226724237,0.47619725970932425,0.47578507048451607,0.47544619366511237,0.4750409828079585,0.4746510255527197,0.4741123321707781,0.4734718369211429,0.4725957876162801,0.4715802709770835,0.47003532155357836,0.46875407762540794,0.4670388242264113,0.4652961120480987,0.46334013018811293,0.4615362305698804,0.4596067167952879,0.45771220355675546,0.4557253742207709,0.4537665413002118,0.45161076116873156,0.449154194334819,0.44645214804515804,0.4443275556927906,0.44217289609853117,0.4403633746544073,0.4378400939361591,0.4352056579508202,0.43274395646352215,0.4300613212502809,0.4274887173141045,0.4251757248540976,0.4230964767468811,0.4211455315482806,0.41990499168414636,0.419170428833083,0.41845311402362295,0.4172424229281099,0.416363803588055,0.4160742735925258,0.4155774096651856,0.4153228244509632,0.41425268193216475,0.4130831715830115,0.41096857837205736,0.41077064013741077,0.4108024169949729,0.4102142272167544,0.4087445619330731,0.40756396655736987,0.40664606703557404,0.405112102201226,0.40360673941134134,0.40240261830904295,0.40208188111118104,0.40121510791296544,0.4003056350843751
0.500hr,0.9557717535236544,0.9804875567099288,0.9951761368682855,1.0,0.9950077904593266,0.9795908395327424,0.9536317891447393,0.9249558922902453,0.9018125145034949,0.8837157481903564,0.8694111748355446,0.8573985189892139,0.8464165082518501,0.8350031614054461,0.8231010753843697,0.8110534259911383,0.798897569647909,0.7866986830634219,0.7742320341143701,0.7620238070733525,0.7502569110865457,0.7389949471117299,0.728149538477103,0.7174179604933589,0.7068023719559631,0.6962054551866913,0.6862176331611138,0.6766355855118344,0.6674722552444522,0.6585965717621904,0.6500287866264355,0.6416465531734765,0.6336251806270957,0.6259352846795124,0.6186066891567276,0.6117092755516109,0.6048692042616545,0.5984744616686916,0.5924917374348678,0.5868176509313376,0.5814409679559408,0.5763417837202139,0.5714981005128068,0.5668915882974266,0.5626803096253375,0.5583934398598221,0.554901094480094,0.5514905961890283,0.5483622382300047,0.5454603418701879,0.5429098638585722,0.5402898107298116,0.5382302803564248,0.5361985156762801,0.5345126431521001,0.532557161466053,0.531200366502139,0.5298252651847309,0.5282349597507212,0.526842010739929,0.5256906676173773,0.5247462489475047,0.523712365638723,0.5226949297256683,0.521681923675343,0.5209065656150924,0.5199919878919246,0.5192549724341248,0.5185221958532941,0.5176813916387961,0.5168944622848799,0.5160137762769618,0.5148726940333427,0.5137288084137098,0.5121337831889775,0.510856644594598,0.5093064396486681,0.5078259576332623,0.5066948635433619,0.5053758034288879,0.5039807748095169,0.5024911168919407,0.5015158032917536,0.5003373766384999,0.49960969153017243,0.4988383809719186,0.49783161559189887,0.4967616119328856,0.49566123806945,0.4946934158936808,0.49424363180048236,0.4938537299076162,0.4934080228220785,0.4929690128636024,0.4923737378863944,0.491685738418318,0.490762757303885,0.48969535234472605,0.48810986463445766,0.4867750191702069,0.48499066646088745,0.483177319753312,0.48114774987944464,0.47927416457193694,0.4772866533091493,0.47532418043304064,0.4732805765855796,0.47128155571116725,0.46909395266729,0.4665947945367931,0.4638459510489979,0.4616522731569074,0.45943520466645804,0.45761380640468796,0.45508081287045343,0.4524282448029482,0.44994769538981455,0.4472712095483058,0.4446850526592729,0.4423872358003935,0.44033749001327877,0.43837073297603263,0.43715447418580505,0.43649790878759315,0.43582786631805703,0.43463129053095767,0.43377688608354725,0.4335045933330977,0.433089185500335,0.43285266446335835,0.43180617587774855,0.43060606211700886,0.4285120762792398,0.42834638556610477,0.4283675216665398,0.4278149293852742,0.4263563810137655,0.42515744951792156,0.4242307864769968,0.4226959834193772,0.4211923292547964,0.41998733895054796,0.41965372551258767,0.41880377503009336,0.4179370501051727
0.667hr,0.9327552539842304,0.9604736545257077,0.9814723561605728,0.9950077904593266,1.0,0.9943303789967911,0.9768216243981204,0.9538850886066211,0.9340545745975839,0.9179416010583273,0.9047560642472334,0.893212600769724,0.8821086490045131,0.8703044736233342,0.8580433270443113,0.8456592394749204,0.8331933960338379,0.8206647344034826,0.807871453360146,0.7953225744658038,0.7832284560436265,0.7716001604071804,0.7603424744225878,0.7491704675657552,0.7380843269219657,0.7270345352790865,0.7166137145027511,0.7066096833001123,0.6970234873571152,0.6877359967964499,0.6787597767170533,0.6699813086710101,0.6615902418081974,0.6535483201839817,0.645884961645363,0.6386893584894752,0.6315951243130166,0.6249638051286323,0.6187645105155043,0.6129088112935267,0.6073753676589697,0.6021381985734562,0.5971715206732338,0.5924570689805961,0.5881460285099829,0.5837720936154789,0.580173344091355,0.576666060047499,0.5734410930717504,0.5704468438964503,0.5677881782573807,0.5650563358994393,0.5628812955443802,0.5607405353838166,0.5589212149439811,0.5568522346397807,0.5553613332991751,0.5538600400532555,0.552128796487496,0.5506081611223828,0.5493228233718633,0.5482386130202563,0.5470800550978647,0.5459450486988472,0.5448106465786922,0.5439042793125783,0.542852032584665,0.5419533663704058,0.541070948413196,0.5400924049333035,0.5391563179303375,0.5381142380342014,0.536845922174363,0.5355691956690932,0.5338667196491549,0.53248040442369,0.5308408891354659,0.5292604631005812,0.5280342483602035,0.5266395044939177,0.5251707982151366,0.5235848361394272,0.5225164714317874,0.5211906384267444,0.5203493550398547,0.519440494029144,0.5182898841272138,0.5170887055592227,0.5158621300392744,0.5147872466493589,0.5142635603657137,0.5137918906736806,0.513275702863684,0.5127493938213196,0.5120600258648893,0.5112844369518119,0.5102755810945824,0.5091178515272828,0.50744861156452,0.5060214815661066,0.5041370437566022,0.5022245366458075,0.5000938445474984,0.4981207192344101,0.4960478205066019,0.4939879626535387,0.49185837331819465,0.4897881975208238,0.4875399299655876,0.48496960994810295,0.4821535848566893,0.47985838976644063,0.4775545976017516,0.4756956208736564,0.47314664118305066,0.4704714839664927,0.4679620067675371,0.46527286341781077,0.46266488945296275,0.4603765742439611,0.45833088602661826,0.45633863369480815,0.45510584273181526,0.4544886121018387,0.453838035111607,0.45264620888804386,0.45176581650932407,0.45146414064920765,0.4511132951671966,0.4508567822716356,0.44977633399922357,0.44848856090406075,0.44642057976436833,0.44625584342017893,0.44627554576240747,0.44574618467199606,0.4442867467406957,0.44305726390211275,0.4420988646876958,0.4405504380444746,0.43904392978022666,0.4378220521039487,0.43746448400822635,0.4366063415759614,0.4357658334799349
0.833hr,0.9059410912594751,0.9341825499651987,0.9590274855825014,0.9795908395327424,0.9943303789967911,1.0,0.9936712759207872,0.9788236004087856,0.9636746122913739,0.9503440682704479,0.9387798993798839,0.928043123274502,0.9170118082076467,0.9048902158349548,0.8922918145906352,0.879585889515055,0.8668244896944299,0.8539821072687122,0.8408653520751835,0.827949637573631,0.815492532759587,0.8034621746774253,0.7917712389917633,0.7801475687129076,0.768588333022842,0.7570945111100822,0.7462572994537836,0.7358613046816259,0.725890661812037,0.716230805597421,0.7068847197494579,0.6977458459753739,0.6890094791138008,0.6806321256090441,0.6726453294844578,0.6651564236072698,0.6578097068932702,0.6509389005316132,0.6445204410242736,0.638479999763008,0.6327901016176707,0.627418956328193,0.622332703493656,0.617517417109551,0.6131139177849743,0.6086630875543393,0.6049680427038219,0.6013755798128364,0.598067322130099,0.5949930697666636,0.5922391638454683,0.5894081712649826,0.5871284200111283,0.5848871403748758,0.582944266511117,0.5807705567669054,0.5791513169036442,0.5775305495507195,0.5756710867469622,0.5740324241866599,0.5726168922919338,0.5713962848903282,0.5701179038626963,0.5688700507398312,0.5676178341665449,0.5665852007465092,0.5654034033315897,0.5643480360935667,0.5633238326587482,0.5622098432665157,0.5611247098147344,0.5599280702503623,0.5585326104576617,0.5571260798532461,0.5553182943679921,0.5538243662599428,0.5520973987421588,0.5504108716646219,0.5490864226829354,0.5476147404655434,0.5460759348707949,0.5443887866419893,0.5432182463817545,0.5417430794727898,0.5407812911296821,0.539723525013566,0.5384150603550726,0.5370682075876465,0.5356991531089679,0.5345073343456853,0.5338884649403872,0.5333146548834183,0.5327095628528292,0.5320739209014689,0.5312680722297614,0.5303833767086666,0.5292631143866569,0.5279942818159108,0.526219067677258,0.5246804015394863,0.5226873247587829,0.5206695669732382,0.5184336519322099,0.5163553704101174,0.5141924576107139,0.5120287111112144,0.509805969346902,0.5076498966664033,0.5053296931453521,0.5026791301869767,0.4997933610735835,0.49738264414812583,0.49498453529660913,0.49307609734493985,0.4905163297132223,0.4878285974337899,0.4852975912666103,0.48259223440766474,0.4799703462121323,0.4777009255320055,0.47565113533812625,0.4736380244732206,0.472364107806168,0.47175691379233753,0.471103354262635,0.46989979661333153,0.46895805992414713,0.46859002576465636,0.4682796695813652,0.4679717576414221,0.46682047368046486,0.46542193669826504,0.4633700624879135,0.4631988375144174,0.46320814492246193,0.46266927372757616,0.46119524316955207,0.45991190582885055,0.4588783293835599,0.45728407179680375,0.4557524867340439,0.4545009239318689,0.4541053177803284,0.4532145096673267,0.4523766013647505
1.000hr,0.8733577316306134,0.9008546775090105,0.9277947090463824,0.9536317891447393,0.9768216243981204,0.9936712759207872,1.0,0.9953203813928315,0.986355522401038,0.976723702748112,0.9672828010625049,0.957590946529821,0.9466998375794874,0.9342662228895416,0.9213468333123815,0.9083610089642182,0.8953702683928451,0.8823056742275073,0.8689552771651418,0.8557278603128555,0.8429227348038452,0.8304891338970551,0.8183657271334629,0.8062931632343013,0.7942711499407007,0.7823429806011591,0.771090878395831,0.7603098074547693,0.7499660008456974,0.7399486422969529,0.7302515272887614,0.7207760373016808,0.7117142458057221,0.7030193702053139,0.6947235923837825,0.6869526726328661,0.6793577827550147,0.6722512090885968,0.6656168445363218,0.6593915909189071,0.6535471204976637,0.6480463058221052,0.6428461646294367,0.6379406569663453,0.6334573649864859,0.6289433531210866,0.6251663792761137,0.621506034765133,0.6181305947609181,0.6149934132977568,0.6121623709425086,0.6092513781575455,0.6068854291656126,0.6045591627678849,0.6025133852703758,0.600248744822662,0.5985147542775971,0.5967887105551901,0.5948172574338155,0.5930768955925603,0.5915445482484647,0.5902007199534995,0.58881484864566,0.5874663497624343,0.5861059175512839,0.584962260158289,0.5836679469789147,0.5824717000365262,0.5813219953887186,0.5800859992378946,0.5788671822194333,0.57753378102178,0.5760203380917263,0.5744961741892468,0.5725919954681699,0.5710025608490314,0.5691995614425562,0.5674148294566184,0.5659954175638792,0.5644522406480343,0.5628542295040456,0.5610746783078046,0.5598026015326015,0.5581891016983288,0.5571113534084282,0.5559116500577023,0.5544498837140558,0.5529618818700578,0.551452267481544,0.5501490180910876,0.5494257514127506,0.5487423935931888,0.5480408919218566,0.5472845726752409,0.5463585007630539,0.5453672303382426,0.5441360515684884,0.5427628603675195,0.5408886582557917,0.5392499263869999,0.5371668376080991,0.5350660496905421,0.5327469547169074,0.5305878048312254,0.5283581118072515,0.5261122217535296,0.5238182821905879,0.5215887134048416,0.519214047631002,0.5165051702371305,0.5135770775408272,0.5110721659472827,0.5085965386716912,0.5066421631193438,0.5041020180734974,0.5014374514717592,0.49892150200892377,0.49622961093728746,0.49362746311380706,0.4914086233705566,0.48937183041718735,0.48736795459136556,0.48605580049325775,0.4854455430447024,0.4847818660194219,0.48357421695205993,0.4825568111302958,0.4821127873450969,0.4818216632229686,0.48145842589875015,0.4802302572751407,0.47871195784571013,0.47666254444790623,0.4764788733139723,0.47646746282886077,0.4758924825439945,0.47439242796575176,0.473033689566461,0.4718846193870988,0.47019999641224397,0.4686058952431344,0.46731655990221677,0.4668784635619719,0.46593662841644234,0.4650916347542531
1.167hr,0.8406688253826707,0.8675301641817736,0.8957033578247502,0.9249558922902453,0.9538850886066211,0.9788236004087856,0.9953203813928315,1.0,0.9974343052540313,0.991933912358466,0.9850073926430167,0.9766671677116175,0.9662049849337812,0.9537838292314725,0.9408676223502253,0.9279013970238138,0.914954638671482,0.901929701842334,0.8885935839731708,0.8752853981378858,0.8623253281055158,0.8496683531311715,0.8372837102373338,0.8249243782688794,0.812596840168064,0.8003678321622619,0.788808079051466,0.7777318800201575,0.7670943005676726,0.7567924667300316,0.7468138827864971,0.7370726394821668,0.7277544565298281,0.718809066436114,0.7102711204987181,0.7022750545665741,0.6944784354787283,0.6871773197719664,0.6803592093604934,0.6739693263759969,0.6679820166333839,0.6623547216625152,0.6570394197681344,0.6520416488184326,0.6474750706713773,0.6428964550062486,0.639037305834476,0.6353105470497664,0.6318701042362027,0.6286741957268664,0.625772076155732,0.6227962835648028,0.6203590133047098,0.6179652993130602,0.6158369492943893,0.6134978704656742,0.6116705374774081,0.6098601757219723,0.6077978346636043,0.6059766502376573,0.6043517009413868,0.6029102184760201,0.6014371145186596,0.6000095265051189,0.5985620679429313,0.5973346011397727,0.5959575505053447,0.594650737373545,0.5934058819033312,0.5920761723394664,0.5907544429019311,0.5893188097912774,0.5877111633639596,0.5860944493652281,0.5841130521917003,0.5824520123879181,0.5805942500054208,0.5787346451234862,0.5772336772879337,0.5756302663142177,0.5739867421865916,0.5721307576981571,0.570767353822631,0.5690364873052064,0.5678570285908802,0.5665379223068711,0.5649494852399604,0.5633435074681148,0.5617226311053806,0.5603386015705158,0.55953420061417,0.5587638311967212,0.5579903458609741,0.5571372512375152,0.5561167010175698,0.5550518502098015,0.5537431863264628,0.552303467645229,0.5503701433128075,0.5486689248934401,0.5465342009707862,0.544389466955317,0.5420220471194845,0.5398190772890767,0.5375574655643947,0.5352659981912304,0.5329381902280527,0.5306686579614114,0.5282749409711103,0.5255426962089008,0.5226095856013476,0.5200519649809411,0.5175290691958471,0.5155403674386982,0.5130463409332594,0.5104338479287183,0.5079624440943394,0.5053102167768984,0.5027512460849053,0.5006003005390187,0.4985921356629078,0.4966208763439064,0.49528083135260187,0.4946572705053722,0.49397521965932145,0.4927699797286467,0.4916709200817155,0.491161058758515,0.49087049256920234,0.4904526340844525,0.4891548047393308,0.48749231247516195,0.48539077015968934,0.4851563955188481,0.4851114732083657,0.4844817782532226,0.4829382608782026,0.48149507590612656,0.4802167927367881,0.47840544035377347,0.476712070492298,0.47537169932325446,0.47487629807858,0.4738695681201501,0.47300429335973704
1.333hr,0.8149540542252447,0.8415303632497001,0.8705239407743888,0.9018125145034949,0.9340545745975839,0.9636746122913739,0.986355522401038,0.9974343052540313,1.0,0.9983249147810235,0.994104147660837,0.9875712338577087,0.9781825840962168,0.9664615632994488,0.9541392889100461,0.9416778917392168,0.929161153969844,0.9164893136790317,0.9034360601669549,0.8903120123824382,0.8774605154900901,0.8648468876644596,0.8524609734337899,0.840068218376371,0.8276746589973744,0.8153610825099417,0.8036867654220239,0.792486135909452,0.781708862246448,0.7712646556446802,0.7611339087840461,0.7512435905882223,0.7417753682679923,0.7326783917345032,0.7239885761819148,0.7158460843453213,0.7079146985189847,0.7004754249813132,0.6935172266113845,0.686992292344876,0.6808810114850817,0.6751323171425517,0.669699928306854,0.6646005284609896,0.6599363298003917,0.6552807525923172,0.6513225390427367,0.6475151558814988,0.6439996088460237,0.6407338004642885,0.6377523253576475,0.6347090877139027,0.6321996762764812,0.6297432157997103,0.6275395532054209,0.625134020402981,0.6232264345094888,0.6213439537829762,0.619202267201874,0.6173102648124591,0.6156077345152947,0.6140847047515297,0.61253731468306,0.6110440526824982,0.6095235255054432,0.6082284397798337,0.6067875947373712,0.6053931102449288,0.6040732505706411,0.6026652253810342,0.601261743026801,0.5997477276445623,0.5980620263904055,0.5963682153728138,0.5943231718984633,0.592599787666559,0.5906945096711167,0.5887711523189427,0.5871945108704386,0.5855345391460017,0.5838481006547328,0.5819246293787822,0.5804747769091999,0.5786378029772629,0.5773630012275821,0.5759372033071435,0.5742405888144405,0.5725283464402336,0.5708144663125723,0.5693707864937965,0.5685089612968446,0.5676730498890358,0.5668510267242629,0.5659286996596378,0.5648317320205855,0.563714274119907,0.5623499765018574,0.5608640468144418,0.5588937051979219,0.557144726217507,0.5549690956889896,0.5527900277506869,0.5503799494989754,0.54813831493499,0.5458505249689936,0.5435192153916861,0.5411640182074245,0.5388610420983838,0.5364547006658192,0.5336997955292817,0.5307615486776953,0.5281620665284941,0.5255948367474146,0.5235618965396958,0.5210994320006126,0.5185235692279946,0.5160814822499233,0.5134556399812459,0.5109285574992737,0.5088210604362037,0.5068169259955637,0.504858530277722,0.5034735580556108,0.5028131085510349,0.5020956656198715,0.500878676513233,0.49968308574167203,0.49910141253906004,0.4987903644255451,0.49831614388247364,0.49694165385117134,0.49509334150100703,0.49287594640189947,0.49254708205328296,0.49245059421166626,0.49175565037394375,0.49015009810456833,0.48861376830785813,0.48721354069603984,0.48526327023460175,0.48344808355594043,0.482034690404694,0.48146014027452944,0.48038053131957376,0.4794727844513387
1.500hr,0.795589935745877,0.8218072260675731,0.8512234958339706,0.8837157481903564,0.9179416010583273,0.9503440682704479,0.976723702748112,0.991933912358466,0.9983249147810235,1.0,0.9985891814140028,0.9943401306635712,0.98674543411504,0.9764467241524009,0.9652959630182174,0.9538003300803999,0.9420746270027038,0.9300378795191152,0.9174945476261208,0.9047616758833751,0.8922250453940456,0.8798630317917014,0.8676788280197587,0.8554520693064941,0.843180377234494,0.8309565197387477,0.8193274269099066,0.8081476094124638,0.7973633275093835,0.7869000983338422,0.7767277162075832,0.7667870129440426,0.757254892406013,0.7480849834814611,0.7393111772814956,0.7310784024317765,0.72305961317038,0.7155196098074187,0.708449902331757,0.7018089374719758,0.6955839294834348,0.6897166455648246,0.6841648246880303,0.6789545028448221,0.6741791025439744,0.6694323862461071,0.6653588855441829,0.6614556255869305,0.6578526184995684,0.6545029821151183,0.6514312536034665,0.6483112303953487,0.6457208788058793,0.6431977491878391,0.6409156289489139,0.6384445536956245,0.6364576840850341,0.6345034468478713,0.6322832236968001,0.6303216156952247,0.6285430501228083,0.6269408277495323,0.6253210611270082,0.6237644218907209,0.6221730907016928,0.620812870637483,0.619312153296316,0.6178359660288062,0.616443699787366,0.6149577143403878,0.6134796569240216,0.6118942933754689,0.6101356488732008,0.6083686200954511,0.6062642542646184,0.6044764407887548,0.6025196013370703,0.6005300411902413,0.5988728875572006,0.5971495846769135,0.5954144947872554,0.5934221622079278,0.5918837547090461,0.589939213899469,0.5885642591049339,0.5870317110971768,0.5852286934185217,0.5834069938192858,0.5816003936073189,0.5800973140722501,0.579182944227996,0.5782850567460607,0.5774187600275332,0.5764336824775596,0.5752580580724478,0.5740852315618611,0.5726637082386937,0.5711267647985006,0.5691129023377952,0.5673057985168238,0.5650790302074382,0.562852013532114,0.5603858713906414,0.5580891987903491,0.5557597312375658,0.5533725668545924,0.550974083570381,0.5486225096349584,0.5461886097676728,0.5433918889868956,0.5404283360768664,0.5377764220849733,0.5351492410543266,0.5330505121918238,0.5305902603048447,0.5280213844183884,0.5255792222670341,0.5229504008245337,0.5204299975728439,0.5183337972616721,0.5163034948472395,0.5143293808688579,0.5128757449421645,0.5121547344667678,0.5113857358214574,0.51014150567583,0.5088374302748312,0.5081742408075903,0.5078246440173352,0.5072833230936699,0.505828267253428,0.5037664961287913,0.5013985134926088,0.5009478390429609,0.5007912527444426,0.5000281385802585,0.4983505423184144,0.4967159397695871,0.4951980828832519,0.49310519520889784,0.49115473416236977,0.489652819369862,0.4889826392676283,0.4878250791182956,0.4868560416228116
