,s1,1.000000hr,2.000000hr,3.000000hr,4.000000hr,5.000000hr,6.000000hr,7.000000hr,8.000000hr,9.000000hr,10.000000hr,11.000000hr,12.000000hr,13.000000hr,14.000000hr,15.000000hr,16.000000hr,17.000000hr,18.000000hr,19.000000hr,20.000000hr,21.000000hr,22.000000hr,23.000000hr,24.000000hr,25.000000hr,26.000000hr,27.000000hr,28.000000hr,29.000000hr,30.000000hr,31.000000hr,32.000000hr,33.000000hr,34.000000hr,35.000000hr,36.000000hr,37.000000hr,38.000000hr,39.000000hr,40.000000hr,41.000000hr,42.000000hr,43.000000hr,44.000000hr,45.000000hr,46.000000hr,47.000000hr,48.000000hr,49.000000hr,50.000000hr,51.000000hr,52.000000hr,53.000000hr,54.000000hr,55.000000hr,56.000000hr,57.000000hr,58.000000hr,59.000000hr,60.000000hr,61.000000hr,62.000000hr,63.000000hr,64.000000hr,65.000000hr,66.000000hr,67.000000hr,68.000000hr,69.000000hr,70.000000hr,71.000000hr,72.000000hr,73.000000hr,74.000000hr,75.000000hr,76.000000hr,77.000000hr,78.000000hr,79.000000hr,80.000000hr,81.000000hr,82.000000hr,83.000000hr,84.000000hr,85.000000hr,86.000000hr,87.000000hr,88.000000hr,89.000000hr,90.000000hr,91.000000hr,92.000000hr,93.000000hr,94.000000hr,95.000000hr,96.000000hr,97.000000hr,98.000000hr,99.000000hr,100.000000hr,101.000000hr,102.000000hr,103.000000hr,104.000000hr,105.000000hr,106.000000hr,107.000000hr,108.000000hr,109.000000hr,110.000000hr,111.000000hr,112.000000hr,113.000000hr,114.000000hr,115.000000hr,116.000000hr,117.000000hr,118.000000hr,119.000000hr,120.000000hr,121.000000hr,122.000000hr,123.000000hr,124.000000hr,125.000000hr,126.000000hr,127.000000hr,128.000000hr,129.000000hr,130.000000hr,131.000000hr,132.000000hr,133.000000hr,134.000000hr,135.000000hr,136.000000hr,137.000000hr,138.000000hr,139.000000hr,140.000000hr,141.000000hr,142.000000hr,143.000000hr,144.000000hr
s1,1.0,0.9924077526451781,0.9761210060050669,0.9557717535236587,0.9327552539842415,0.9059410912594664,0.8733577316306055,0.8406688253826587,0.8149540542252613,0.7955899357458681,0.7810933223359934,0.7697995830602515,0.7601888204047388,0.7501100199142128,0.7392215853860933,0.7280438872786277,0.7165892387981244,0.7050489364469428,0.6931195648302778,0.6814082210126039,0.6702060770688115,0.6596507058889141,0.6496792983854506,0.6399033124758329,0.6303588017586268,0.6208202826019874,0.6119179132167036,0.6034410693034015,0.5954087543022941,0.5875918038550563,0.5800803949323027,0.5727036201517978,0.5655312850794182,0.5586391624373516,0.5520211390759838,0.5457127626475389,0.5393454802720719,0.5333879755704558,0.5278078138850653,0.5224550927951264,0.5173662759009299,0.5125342059870366,0.5079374622614029,0.5035587767461862,0.4995701950862266,0.49550897541349215,0.4922784572364329,0.489103161684909,0.4862332870150033,0.4835683996674612,0.481288805789897,0.4789624703654387,0.4771984415816439,0.4754431541299053,0.4740747576811209,0.47241878125736236,0.47137434912495135,0.4702857743181712,0.46904029149933707,0.46796039399130057,0.4671032549212463,0.46647045797712144,0.4657318568694689,0.4649708022087102,0.4642350207412214,0.46372556225722683,0.46312279912538634,0.4628074262572311,0.4624859287219793,0.4619667830822948,0.4615093901869094,0.46101170381741174,0.4602056472292747,0.4593421238669887,0.4579789898782859,0.4569222542282144,0.45555746874048825,0.45426148849909914,0.4533312426803451,0.45217076926934163,0.4509552275004422,0.44964977218768337,0.44882433924569953,0.44793194540005116,0.4473804430098595,0.44684030301776734,0.44604988187108663,0.44515847377931617,0.4441963629480816,0.443394539833407,0.44296485718727574,0.44261790624594155,0.44214829404916917,0.44170558047617264,0.4411590368192625,0.44049585828837495,0.43960202656755937,0.43856718955884494,0.43698602194074193,0.43569750612489505,0.4340164272059489,0.43232702515481286,0.43043229375045416,0.42866942151568044,0.42678111169990796,0.42494732416510195,0.42298909246759625,0.4210349108096291,0.4188792976775822,0.4164396654798858,0.4137967364463406,0.4117478812700067,0.4096928808138728,0.40788040654290997,0.40542537952640445,0.40284941011724545,0.40045213685562536,0.39776485439178805,0.3952388695566687,0.39294053449581906,0.39080515827317946,0.38891595619049746,0.3876089137333262,0.3867212917411417,0.38589835046889326,0.3846526137743209,0.38365434831817163,0.3832781522450022,0.38263339581940065,0.3822626536012602,0.38105734854974815,0.3798199965355713,0.3777873120509278,0.37760637486645166,0.37777265793139714,0.3772324630362697,0.37580533499906005,0.37467639560874894,0.37385346700728034,0.37240051406101826,0.37095611807854684,0.3697669372403833,0.36945877710834285,0.3685276552108436,0.36752614246174936
1.000000hr,0.9924077526451781,1.0,0.9943639430019424,0.9804875567099449,0.9604736545257523,0.9341825499651911,0.9008546775090109,0.8675301641817783,0.8415303632496908,0.8218072260675718,0.8068851838059435,0.7950781587420835,0.7849522316890024,0.7744829519898745,0.7633043394089241,0.7518838103798527,0.7402503854567936,0.7285660468057946,0.7165469570606661,0.7047554501355652,0.6934338882939342,0.6827105431461378,0.6725231225570757,0.6625171963383155,0.6526972904973047,0.6428864100049373,0.6336953023377924,0.6249151772673193,0.6165691052089973,0.6084732845702399,0.6006799282535986,0.5930242277745318,0.5856410827077033,0.5785342620461491,0.5717536568070479,0.5653136513521757,0.5588523651597042,0.5528000912515854,0.5471274314149225,0.5417050064430011,0.5365510291233622,0.5316522038291197,0.5269902751014244,0.5225467825898685,0.5184908600391847,0.5143421964371658,0.511033209153606,0.5077858971152915,0.5048350108733601,0.502095456588117,0.4997403826081775,0.4973189162547271,0.4954680289251352,0.4936319313588971,0.49218400831381737,0.49043563113162053,0.4893122284091131,0.488153356930211,0.4868181400191429,0.4856569671676075,0.4847283890588489,0.48401597937949625,0.4831999419478195,0.48237235801103096,0.48156809232093023,0.48101802432934937,0.4803514823096981,0.47990967271044455,0.4794619457818092,0.47885572151880257,0.47831429988417357,0.47771801503666633,0.47678981363014356,0.4758660124257601,0.4744427984224023,0.4733326041864484,0.4719201002812415,0.4705763378626454,0.46958842466752765,0.46838346484851695,0.4671081308721151,0.4657483465843647,0.4648868562762125,0.4639303799985413,0.46334949035245115,0.4627588786976329,0.4619263321016865,0.4610095958041346,0.46003869390956037,0.4592028826985028,0.45879300888351326,0.45846786737063977,0.45806183857808264,0.4576739558501536,0.4571509247454901,0.45651643596340546,0.45564504360247476,0.4546391139057047,0.4530927588944488,0.45182379880606516,0.4501400899189934,0.44843504548316043,0.44652342688638,0.4447507221670845,0.44284790262274865,0.4409891138463108,0.4390264099594933,0.4370772920408809,0.43492623010471204,0.4324869670480911,0.4298150718311008,0.42773031588167293,0.42561953297650384,0.4238064161677057,0.4212984773065373,0.41868304714891086,0.41623902102274074,0.4135408520911917,0.4109761688566175,0.40864942995164993,0.406524382710387,0.40458131703587397,0.4032875014462841,0.40245346848893304,0.40166375706717167,0.40043642128504153,0.3994934564758676,0.3991577877714013,0.3985634270694421,0.39825409623698954,0.3971165593739215,0.3959303812655717,0.3937855476050997,0.3935594111643878,0.3936223624642243,0.39301760834538246,0.3915431279990942,0.39037802569068947,0.3894775446639675,0.387967342644796,0.3864739496479543,0.3852655866847631,0.3849563414053143,0.3840587373256983,0.3831044575785888
2.000000hr,0.9761210060050669,0.9943639430019424,1.0,0.9951761368682893,0.9814723561605859,0.959027485582509,0.9277947090463787,0.895703357824753,0.8705239407743764,0.8512234958339654,0.8363388829666454,0.8242470207235694,0.8136108815987247,0.8026599985283807,0.791126257076265,0.7794055433787848,0.7675343173673546,0.7556272460255946,0.7434295206363828,0.7314811302206726,0.7199744897862576,0.7090171024668518,0.6985358141754859,0.6882027516998499,0.6780207086642751,0.667849699465485,0.6582841627038848,0.6491237417722557,0.6403875974845389,0.6319242642178998,0.6237641777531968,0.615769860408444,0.608097156895975,0.6007319031859382,0.593708979032039,0.5870736007098208,0.5804535356273238,0.5742603385794028,0.5684590917133064,0.5629358975797434,0.5576909956466297,0.5527093199858061,0.5479715316913336,0.543458975762004,0.539336035663515,0.5351281684599857,0.5317366528043708,0.5284156902902619,0.5253826506133952,0.5225692482930333,0.520123778513409,0.5176122337564676,0.5156647025050838,0.5137377555200344,0.5121797408647998,0.51033516182326,0.50910468606113,0.5078477050614949,0.5063953298461545,0.5051274430999421,0.5040995422599557,0.5032843545146475,0.5023692852660994,0.5014588385888511,0.5005596367656122,0.4999074609652824,0.49912542469545246,0.49854323077924095,0.4979575770113384,0.4972441035930743,0.49659157708856005,0.49586333356360446,0.49483745496114534,0.49381510227299674,0.4923150555690317,0.49113189532109647,0.48965848075446655,0.4882585111186807,0.4872084333351348,0.4859543803128144,0.4846250603101547,0.4832138530655442,0.4823097179056652,0.48125947295680305,0.4806212428646297,0.47996025512157814,0.4790635420644212,0.47809275089730935,0.4770822722672438,0.4761972597093382,0.4757850704845207,0.4754461936651149,0.4750409828079588,0.474651025552723,0.47411233217077803,0.4734718369211511,0.4725957876162812,0.47158027097707533,0.4700353215535786,0.46875407762539983,0.46703882422640447,0.46529611204809973,0.46334013018810877,0.46153623056988374,0.45960671679528725,0.4577122035567618,0.4557253742207667,0.4537665413002092,0.4516107611687364,0.4491541943348211,0.4464521480451587,0.4443275556927879,0.4421728960985291,0.4403633746544046,0.4378400939361574,0.43520565795081806,0.43274395646351804,0.4300613212502822,0.42748871731410537,0.42517572485409716,0.42309647674688655,0.4211455315482808,0.4199049916841535,0.4191704288330797,0.41845311402361896,0.4172424229281039,0.4163638035880501,0.41607427359252386,0.4155774096651897,0.41532282445095997,0.4142526819321548,0.41308317158300456,0.41096857837206213,0.4107706401374174,0.410802416994984,0.41021422721676654,0.40874456193307906,0.4075639665573736,0.4066460670355706,0.40511210220122434,0.40360673941134917,0.4024026183090497,0.40208188111118054,0.401215107912963,0.40030563508437306
3.000000hr,0.9557717535236587,0.9804875567099449,0.9951761368682893,1.0,0.9950077904593327,0.9795908395327235,0.9536317891447442,0.9249558922902306,0.9018125145034842,0.8837157481903629,0.8694111748355325,0.857398518989226,0.846416508251849,0.8350031614054402,0.8231010753843895,0.8110534259911423,0.7988975696479117,0.786698683063406,0.7742320341143611,0.762023807073337,0.7502569110865516,0.7389949471117364,0.7281495384771006,0.7174179604933766,0.7068023719559698,0.6962054551866825,0.6862176331610932,0.6766355855118449,0.6674722552444382,0.658596571762186,0.6500287866264229,0.6416465531734739,0.6336251806270855,0.6259352846795018,0.6186066891567159,0.6117092755516089,0.6048692042616602,0.5984744616686976,0.5924917374348783,0.5868176509313356,0.5814409679559479,0.5763417837202249,0.5714981005128142,0.5668915882974237,0.5626803096253261,0.5583934398598286,0.5549010944801009,0.5514905961890265,0.5483622382300031,0.5454603418701988,0.5429098638585742,0.5402898107298144,0.5382302803564326,0.5361985156762696,0.5345126431521025,0.5325571614660618,0.5312003665021325,0.5298252651847334,0.5282349597507201,0.5268420107399211,0.525690667617384,0.5247462489475062,0.5237123656387174,0.5226949297256701,0.521681923675334,0.520906565615092,0.5199919878919261,0.5192549724341208,0.5185221958532855,0.5176813916388155,0.5168944622848759,0.5160137762769686,0.5148726940333564,0.5137288084136994,0.5121337831889804,0.5108566445945982,0.5093064396486768,0.507825957633261,0.5066948635433681,0.5053758034288971,0.5039807748095291,0.5024911168919308,0.5015158032917572,0.5003373766384885,0.49960969153016843,0.49883838097192446,0.4978316155919171,0.49676161193289425,0.49566123806944934,0.49469341589368715,0.4942436318004786,0.49385372990763154,0.4934080228220897,0.4929690128636138,0.4923737378863803,0.49168573841832836,0.4907627573038814,0.4896953523447361,0.4881098646344664,0.4867750191701981,0.4849906664608973,0.4831773197533037,0.4811477498794446,0.479274164571935,0.4772866533091474,0.4753241804330399,0.4732805765855826,0.4712815557111632,0.46909395266730275,0.4665947945367974,0.46384595104899395,0.46165227315691065,0.4594352046664596,0.4576138064046776,0.45508081287044977,0.45242824480295096,0.4499476953898113,0.4472712095482952,0.444685052659282,0.4423872358003938,0.4403374900132627,0.4383707329760376,0.4371544741858157,0.4364979087875907,0.4358278663180571,0.43463129053096405,0.4337768860835469,0.433504593333093,0.43308918550033837,0.43285266446335713,0.4318061758777388,0.43060606211701263,0.428512076279232,0.42834638556610616,0.42836752166652764,0.4278149293852739,0.4263563810137702,0.4251574495179227,0.4242307864770034,0.42269598341938336,0.42119232925480116,0.41998733895054285,0.4196537255125909,0.41880377503009353,0.41793705010518023
4.000000hr,0.9327552539842415,0.9604736545257523,0.9814723561605859,0.9950077904593327,1.0,0.9943303789968047,0.9768216243981239,0.9538850886066151,0.9340545745975618,0.9179416010583371,0.904756064247232,0.893212600769706,0.882108649004522,0.870304473623316,0.8580433270443012,0.8456592394749153,0.8331933960338264,0.820664734403483,0.8078714533601353,0.7953225744658051,0.7832284560436439,0.771600160407165,0.7603424744225747,0.7491704675657742,0.7380843269219687,0.7270345352790818,0.7166137145027439,0.706609683300105,0.6970234873571384,0.687735996796439,0.6787597767170467,0.6699813086710258,0.661590241808212,0.6535483201839833,0.645884961645352,0.6386893584894832,0.6315951243130146,0.6249638051286421,0.6187645105155205,0.6129088112935379,0.6073753676589628,0.6021381985734529,0.5971715206732262,0.5924570689805838,0.5881460285099644,0.583772093615481,0.5801733440913608,0.5766660600474999,0.5734410930717491,0.5704468438964432,0.5677881782573978,0.5650563358994348,0.5628812955443914,0.5607405353838205,0.5589212149439845,0.5568522346397718,0.555361333299167,0.5538600400532546,0.5521287964874935,0.5506081611223913,0.5493228233718667,0.5482386130202587,0.5470800550978556,0.5459450486988497,0.5448106465786889,0.5439042793125826,0.5428520325846623,0.5419533663704226,0.5410709484131841,0.5400924049333063,0.5391563179303308,0.5381142380342078,0.5368459221743593,0.5355691956690923,0.5338667196491595,0.5324804044236985,0.5308408891354636,0.5292604631005757,0.5280342483602014,0.5266395044939253,0.5251707982151459,0.5235848361394244,0.5225164714317986,0.5211906384267437,0.5203493550398576,0.5194404940291295,0.5182898841272128,0.5170887055592341,0.5158621300392665,0.5147872466493643,0.5142635603657139,0.5137918906736851,0.51327570286368,0.512749393821323,0.5120600258648872,0.5112844369518037,0.5102755810945883,0.5091178515272797,0.5074486115645255,0.506021481566102,0.504137043756604,0.5022245366458143,0.5000938445474982,0.49812071923439416,0.4960478205066002,0.4939879626535319,0.4918583733181989,0.48978819752083347,0.4875399299655888,0.48496960994810373,0.48215358485668264,0.4798583897664248,0.4775545976017587,0.47569562087366624,0.47314664118304783,0.4704714839665007,0.4679620067675429,0.46527286341781954,0.46266488945296186,0.46037657424395584,0.4583308860266069,0.45633863369480804,0.4551058427318171,0.4544886121018392,0.4538380351116076,0.4526462088880331,0.45176581650932096,0.4514641406492062,0.4511132951671964,0.45085678227163434,0.4497763339992211,0.44848856090406464,0.4464205797643716,0.44625584342018393,0.4462755457624139,0.4457461846719982,0.44428674674069857,0.4430572639021139,0.44209886468770243,0.4405504380444702,0.4390439297802331,0.4378220521039473,0.4374644840082237,0.43660634157595746,0.43576583347993963
5.000000hr,0.9059410912594664,0.9341825499651911,0.959027485582509,0.9795908395327235,0.9943303789968047,1.0,0.9936712759207837,0.9788236004087881,0.9636746122913544,0.9503440682704404,0.938779899379886,0.9280431232744835,0.9170118082076294,0.9048902158349545,0.8922918145906364,0.8795858895150424,0.8668244896944505,0.8539821072687348,0.8408653520751861,0.8279496375736299,0.8154925327595863,0.8034621746774319,0.79177123899175,0.780147568712905,0.7685883330228535,0.7570945111100651,0.7462572994537789,0.735861304681626,0.7258906618120613,0.7162308055974183,0.7068847197494654,0.6977458459753862,0.6890094791138076,0.6806321256090495,0.672645329484444,0.6651564236072692,0.6578097068932671,0.6509389005316104,0.6445204410242898,0.6384799997630102,0.6327901016176665,0.6274189563281827,0.622332703493651,0.6175174171095485,0.6131139177849769,0.6086630875543568,0.6049680427038228,0.6013755798128493,0.5980673221301117,0.5949930697666804,0.5922391638454877,0.5894081712649736,0.5871284200111259,0.584887140374878,0.5829442665111202,0.5807705567669061,0.5791513169036532,0.5775305495507136,0.5756710867469427,0.574032424186655,0.5726168922919302,0.5713962848903172,0.570117903862697,0.568870050739836,0.567617834166547,0.5665852007465101,0.5654034033315956,0.564348036093572,0.5633238326587371,0.5622098432665226,0.5611247098147311,0.559928070250364,0.5585326104576568,0.5571260798532381,0.5553182943679964,0.5538243662599412,0.5520973987421661,0.5504108716646262,0.5490864226829405,0.547614740465538,0.5460759348707961,0.5443887866419778,0.5432182463817549,0.5417430794727898,0.5407812911296787,0.5397235250135479,0.5384150603550658,0.5370682075876467,0.5356991531089587,0.5345073343456948,0.5338884649403896,0.5333146548834121,0.5327095628528341,0.5320739209014763,0.5312680722297617,0.5303833767086706,0.5292631143866483,0.527994281815918,0.5262190676772601,0.5246804015394841,0.5226873247587775,0.5206695669732492,0.5184336519321976,0.516355370410108,0.5141924576107172,0.5120287111112016,0.5098059693468969,0.5076498966664107,0.5053296931453509,0.5026791301869813,0.49979336107357686,0.49738264414812117,0.49498453529661324,0.493076097344944,0.49051632971321807,0.48782859743378615,0.4852975912666169,0.48259223440766014,0.4799703462121277,0.47770092553200366,0.4756511353381162,0.47363802447321623,0.47236410780617843,0.4717569137923468,0.471103354262632,0.4698997966133347,0.46895805992415146,0.4685900257646624,0.46827966958137174,0.4679717576414179,0.4668204736804588,0.4654219366982654,0.46337006248791035,0.46319883751443225,0.4632081449224626,0.4626692737275755,0.46119524316956195,0.45991190582885205,0.4588783293835574,0.4572840717968005,0.45575248673404956,0.45450092393186803,0.45410531778033325,0.45321450966733623,0.4523766013647525
6.000000hr,0.8733577316306055,0.9008546775090109,0.9277947090463787,0.9536317891447442,0.9768216243981239,0.9936712759207837,1.0,0.9953203813928092,0.9863555224010321,0.9767237027480965,0.9672828010624843,0.9575909465298245,0.9466998375795038,0.9342662228895359,0.9213468333123863,0.9083610089642176,0.8953702683928662,0.882305674227487,0.8689552771651399,0.8557278603128707,0.8429227348038311,0.8304891338970467,0.8183657271334661,0.8062931632342926,0.7942711499407052,0.7823429806011402,0.7710908783958252,0.7603098074547625,0.7499660008457122,0.7399486422969532,0.7302515272887641,0.7207760373016616,0.7117142458057223,0.703019370205301,0.6947235923837666,0.6869526726328664,0.6793577827550245,0.6722512090885948,0.6656168445363191,0.6593915909189055,0.6535471204976527,0.6480463058221102,0.6428461646294348,0.6379406569663458,0.6334573649864785,0.6289433531210765,0.6251663792761286,0.6215060347651387,0.6181305947609356,0.6149934132977468,0.6121623709425195,0.6092513781575487,0.6068854291656035,0.604559162767888,0.6025133852703768,0.6002487448226437,0.5985147542775842,0.5967887105551978,0.5948172574338161,0.5930768955925647,0.5915445482484575,0.5902007199534987,0.5888148486456548,0.5874663497624355,0.586105917551289,0.5849622601582933,0.5836679469789118,0.5824717000365329,0.5813219953887039,0.5800859992378941,0.5788671822194316,0.5775337810217869,0.576020338091726,0.5744961741892393,0.5725919954681754,0.5710025608490398,0.5691995614425609,0.5674148294566114,0.5659954175638746,0.5644522406480263,0.5628542295040433,0.5610746783078007,0.5598026015326107,0.5581891016983295,0.5571113534084199,0.5559116500576892,0.5544498837140599,0.5529618818700613,0.5514522674815571,0.5501490180910971,0.5494257514127464,0.5487423935931824,0.548040891921868,0.5472845726752318,0.5463585007630579,0.5453672303382384,0.5441360515684861,0.5427628603675185,0.5408886582557918,0.5392499263869913,0.537166837608099,0.535066049690554,0.5327469547169018,0.5305878048312177,0.5283581118072496,0.526112221753521,0.5238182821905893,0.5215887134048404,0.5192140476309921,0.5165051702371315,0.513577077540825,0.5110721659472786,0.5085965386716873,0.5066421631193303,0.5041020180734879,0.5014374514717459,0.49892150200893026,0.4962296109372893,0.4936274631138104,0.49140862337054647,0.48937183041718296,0.48736795459136056,0.4860558004932618,0.48544554304469845,0.4847818660194253,0.4835742169520709,0.48255681113029536,0.4821127873450883,0.48182166322297293,0.48145842589874804,0.4802302572751366,0.47871195784570697,0.47666254444790773,0.4764788733139817,0.4764674628288644,0.4758924825439889,0.474392427965748,0.4730336895664684,0.47188461938709714,0.47019999641223753,0.4686058952431474,0.4673165599022149,0.4668784635619698,0.4659366284164426,0.46509163475425863
7.000000hr,0.8406688253826587,0.8675301641817783,0.895703357824753,0.9249558922902306,0.9538850886066151,0.9788236004087881,0.9953203813928092,1.0,0.9974343052540469,0.9919339123584612,0.9850073926430436,0.9766671677115809,0.9662049849338058,0.9537838292314816,0.9408676223502248,0.9279013970238179,0.9149546386715058,0.9019297018423401,0.8885935839731582,0.8752853981379045,0.8623253281055435,0.8496683531311506,0.8372837102373177,0.8249243782688753,0.8125968401680661,0.8003678321622483,0.7888080790514429,0.7777318800201566,0.7670943005676764,0.7567924667300208,0.7468138827864795,0.7370726394821625,0.727754456529825,0.7188090664361091,0.7102711204987016,0.7022750545665727,0.6944784354787382,0.6871773197719574,0.680359209360511,0.6739693263759771,0.667982016633378,0.6623547216625216,0.6570394197681383,0.6520416488184383,0.64747507067138,0.6428964550062652,0.639037305834471,0.6353105470497719,0.6318701042362036,0.6286741957268658,0.6257720761557393,0.6227962835648033,0.6203590133047138,0.6179652993130593,0.6158369492943758,0.6134978704656743,0.6116705374774,0.6098601757219699,0.6077978346635988,0.6059766502376778,0.6043517009413857,0.6029102184760234,0.6014371145186546,0.6000095265051152,0.5985620679429288,0.5973346011397724,0.5959575505053398,0.5946507373735529,0.5934058819033264,0.5920761723394674,0.5907544429019341,0.5893188097912758,0.5877111633639449,0.5860944493652269,0.5841130521917097,0.5824520123879082,0.5805942500054239,0.578734645123485,0.5772336772879371,0.5756302663142174,0.5739867421865975,0.5721307576981337,0.5707673538226331,0.5690364873052038,0.5678570285908744,0.5665379223068738,0.5649494852399548,0.5633435074681181,0.5617226311053831,0.5603386015705132,0.559534200614167,0.5587638311967166,0.5579903458609807,0.557137251237525,0.5561167010175742,0.5550518502097889,0.5537431863264577,0.5523034676452245,0.55037014331281,0.5486689248934431,0.5465342009707816,0.5443894669553234,0.5420220471194755,0.5398190772890765,0.5375574655643998,0.5352659981912279,0.5329381902280451,0.5306686579614087,0.5282749409711086,0.5255426962089007,0.5226095856013443,0.5200519649809402,0.5175290691958541,0.5155403674386999,0.513046340933274,0.5104338479287028,0.5079624440943344,0.5053102167769041,0.5027512460849088,0.5006003005390168,0.498592135662902,0.4966208763439003,0.4952808313526057,0.49465727050536684,0.4939752196593171,0.49276997972863423,0.4916709200817193,0.4911610587585117,0.4908704925692008,0.49045263408445694,0.4891548047393273,0.4874923124751617,0.48539077015968585,0.48515639551885953,0.48511147320836356,0.48448177825322525,0.48293826087819697,0.48149507590613655,0.4802167927367839,0.47840544035377536,0.4767120704923027,0.4753716993232568,0.4748762980785828,0.47386956812015735,0.4730042933597317
8.000000hr,0.8149540542252613,0.8415303632496908,0.8705239407743764,0.9018125145034842,0.9340545745975618,0.9636746122913544,0.9863555224010321,0.9974343052540469,1.0,0.9983249147810415,0.9941041476608299,0.9875712338576978,0.9781825840962112,0.9664615632994366,0.9541392889100374,0.9416778917392247,0.9291611539698673,0.9164893136790165,0.9034360601669535,0.8903120123824584,0.877460515490091,0.8648468876644525,0.8524609734337855,0.8400682183763785,0.8276746589974009,0.8153610825099454,0.803686765422022,0.7924861359094554,0.7817088622464458,0.7712646556446858,0.7611339087840533,0.7512435905882285,0.7417753682679871,0.732678391734486,0.7239885761819148,0.7158460843453351,0.7079146985189946,0.7004754249813224,0.6935172266114044,0.6869922923448722,0.6808810114850762,0.6751323171425463,0.6696999283068589,0.6646005284609764,0.6599363298003781,0.6552807525923108,0.6513225390427488,0.6475151558815039,0.6439996088460384,0.6407338004643037,0.6377523253576585,0.6347090877139056,0.6321996762764722,0.6297432157997113,0.627539553205415,0.6251340204029768,0.6232264345094832,0.6213439537829873,0.6192022672018797,0.6173102648124494,0.615607734515306,0.6140847047515288,0.6125373146830624,0.6110440526824941,0.6095235255054446,0.6082284397798413,0.606787594737362,0.6053931102449341,0.6040732505706398,0.6026652253810526,0.6012617430268096,0.5997477276445502,0.5980620263903984,0.5963682153728074,0.5943231718984595,0.5925997876665653,0.5906945096711271,0.5887711523189497,0.5871945108704444,0.5855345391460048,0.5838481006547389,0.5819246293787804,0.5804747769091991,0.5786378029772662,0.5773630012275854,0.5759372033071365,0.5742405888144487,0.572528346440247,0.570814466312576,0.5693707864938065,0.5685089612968469,0.5676730498890475,0.5668510267242729,0.5659286996596372,0.5648317320205798,0.5637142741199129,0.5623499765018557,0.5608640468144497,0.5588937051979346,0.5571447262174963,0.5549690956889923,0.5527900277506795,0.5503799494989692,0.5481383149349838,0.5458505249690038,0.5435192153916973,0.5411640182074251,0.5388610420983923,0.5364547006658131,0.5336997955292792,0.5307615486776868,0.5281620665284938,0.5255948367474238,0.5235618965396959,0.5210994320006038,0.5185235692279837,0.5160814822499221,0.5134556399812494,0.5109285574992817,0.5088210604362073,0.5068169259955608,0.504858530277719,0.5034735580556129,0.5028131085510248,0.5020956656198746,0.5008786765132298,0.4996830857416802,0.49910141253905516,0.49879036442555846,0.4983161438824787,0.4969416538511699,0.49509334150100975,0.49287594640188664,0.49254708205328857,0.4924505942116645,0.4917556503739438,0.4901500981045699,0.4886137683078728,0.4872135406960394,0.4852632702346006,0.4834480835559532,0.48203469040469793,0.4814601402745341,0.48038053131958053,0.4794727844513316
9.000000hr,0.7955899357458681,0.8218072260675718,0.8512234958339654,0.8837157481903629,0.9179416010583371,0.9503440682704404,0.9767237027480965,0.9919339123584612,0.9983249147810415,1.0,0.9985891814140186,0.9943401306635647,0.9867454341150583,0.9764467241523911,0.965295963018206,0.9538003300804127,0.9420746270027073,0.9300378795191078,0.9174945476261146,0.9047616758833799,0.8922250453940499,0.8798630317916727,0.8676788280197543,0.8554520693064998,0.8431803772344976,0.8309565197387496,0.819327426909906,0.8081476094124475,0.7973633275094023,0.7869000983338484,0.776727716207571,0.7667870129440673,0.7572548924060261,0.7480849834814505,0.7393111772814868,0.7310784024317785,0.7230596131703763,0.715519609807424,0.708449902331765,0.7018089374719664,0.6955839294834413,0.6897166455648429,0.6841648246880337,0.6789545028448037,0.6741791025439654,0.6694323862460965,0.6653588855441892,0.6614556255869286,0.6578526184995674,0.6545029821151436,0.6514312536034802,0.6483112303953442,0.6457208788058848,0.6431977491878236,0.6409156289489055,0.638444553695654,0.6364576840850258,0.6345034468478679,0.6322832236967947,0.6303216156952166,0.6285430501228297,0.6269408277495198,0.6253210611270092,0.6237644218907251,0.6221730907016998,0.620812870637484,0.6193121532963166,0.6178359660288073,0.6164436997873692,0.6149577143403978,0.6134796569240055,0.6118942933754744,0.6101356488732026,0.6083686200954485,0.6062642542646194,0.6044764407887612,0.6025196013370735,0.6005300411902504,0.5988728875571977,0.5971495846769199,0.5954144947872594,0.5934221622079312,0.5918837547090513,0.5899392138994637,0.5885642591049444,0.5870317110971581,0.5852286934185236,0.5834069938192896,0.5816003936073153,0.5800973140722576,0.5791829442279861,0.578285056746063,0.5774187600275426,0.5764336824775599,0.575258058072456,0.5740852315618613,0.5726637082386952,0.5711267647985058,0.5691129023377971,0.5673057985168181,0.5650790302074297,0.5628520135321111,0.5603858713906353,0.5580891987903479,0.5557597312375778,0.5533725668545938,0.5509740835703878,0.5486225096349533,0.5461886097676593,0.543391888986905,0.5404283360768668,0.537776422084981,0.5351492410543244,0.5330505121918203,0.5305902603048323,0.5280213844183832,0.5255792222670443,0.522950400824528,0.5204299975728557,0.518333797261669,0.516303494847239,0.5143293808688536,0.5128757449421683,0.5121547344667657,0.5113857358214386,0.510141505675831,0.50883743027483,0.5081742408075909,0.5078246440173418,0.5072833230936665,0.5058282672534343,0.5037664961287934,0.501398513492612,0.5009478390429648,0.5007912527444423,0.5000281385802632,0.49835054231841014,0.49671593976959133,0.49519808288325384,0.4931051952088911,0.49115473416236827,0.4896528193698653,0.48898263926762797,0.48782507911828876,0.48685604162281976
